machine_id,machine_type,component,active_time,component_age,prev_failures,num_services_since_install,time_since_last_service,RUL,event_type_encoded,lifecycle_id,is_failure
1,Excavator,Brake System,3000,3000,0,0,3000,4939.0,1,0,0
1,Excavator,Hydraulic Pump,3000,3000,0,0,3000,7105.0,1,0,0
1,Excavator,Engine,3000,3000,0,0,3000,12386.0,1,0,0
1,Excavator,Brake System,6000,6000,0,1,3000,1939.0,1,0,0
1,Excavator,Hydraulic Pump,6000,6000,0,1,3000,4105.0,1,0,0
1,Excavator,Engine,6000,6000,0,1,3000,9386.0,1,0,0
1,Excavator,Brake System,7939,7939,0,2,1939,0.0,2,0,1
1,Excavator,Brake System,9000,1061,1,0,1061,7091.0,1,1,0
1,Excavator,Hydraulic Pump,9000,9000,0,2,3000,1105.0,1,0,0
1,Excavator,Engine,9000,9000,0,2,3000,6386.0,1,0,0
1,Excavator,Hydraulic Pump,10105,10105,0,3,1105,0.0,2,0,1
1,Excavator,Brake System,12000,4061,1,1,3000,4091.0,1,1,0
1,Excavator,Hydraulic Pump,12000,1895,1,0,1895,8340.0,1,1,0
1,Excavator,Engine,12000,12000,0,3,3000,3386.0,1,0,0
1,Excavator,Engine,15000,15000,0,4,3000,386.0,1,0,0
1,Excavator,Hydraulic Pump,15000,4895,1,1,3000,5340.0,1,1,0
1,Excavator,Brake System,15000,7061,1,2,3000,1091.0,1,1,0
1,Excavator,Engine,15386,15386,0,5,386,0.0,2,0,1
1,Excavator,Brake System,16091,8152,1,3,1091,0.0,2,1,1
1,Excavator,Brake System,18000,1909,2,0,1909,6063.0,1,2,0
1,Excavator,Hydraulic Pump,18000,7895,1,2,3000,2340.0,1,1,0
1,Excavator,Engine,18000,2614,1,0,2614,2840.0,1,1,0
1,Excavator,Hydraulic Pump,20340,10235,1,3,2340,0.0,2,1,1
1,Excavator,Engine,20840,5454,1,1,2840,0.0,2,1,1
1,Excavator,Brake System,21000,4909,2,1,3000,3063.0,1,2,0
1,Excavator,Hydraulic Pump,21000,660,2,0,660,9324.0,1,2,0
1,Excavator,Engine,21000,160,2,0,160,9824.0,1,2,0
1,Excavator,Brake System,24000,7909,2,2,3000,63.0,1,2,0
1,Excavator,Hydraulic Pump,24000,3660,2,1,3000,6324.0,1,2,0
1,Excavator,Engine,24000,3160,2,1,3000,6824.0,1,2,0
1,Excavator,Brake System,24063,7972,2,3,63,0.0,2,2,1
1,Excavator,Engine,27000,6160,2,2,3000,3824.0,1,2,0
1,Excavator,Brake System,27000,2937,3,0,2937,5680.0,1,3,0
1,Excavator,Hydraulic Pump,27000,6660,2,2,3000,3324.0,1,2,0
1,Excavator,Brake System,30000,5937,3,1,3000,2680.0,1,3,0
1,Excavator,Hydraulic Pump,30000,9660,2,3,3000,324.0,1,2,0
1,Excavator,Engine,30000,9160,2,3,3000,824.0,1,2,0
1,Excavator,Hydraulic Pump,30324,9984,2,4,324,0.0,2,2,1
1,Excavator,Engine,30824,9984,2,4,824,0.0,2,2,1
1,Excavator,Brake System,32680,8617,3,2,2680,0.0,2,3,1
1,Excavator,Brake System,33000,320,4,0,320,7931.0,1,4,0
1,Excavator,Hydraulic Pump,33000,2676,3,0,2676,7822.0,1,3,0
1,Excavator,Engine,33000,2176,3,0,2176,12810.0,1,3,0
1,Excavator,Brake System,36000,3320,4,1,3000,4931.0,1,4,0
1,Excavator,Hydraulic Pump,36000,5676,3,1,3000,4822.0,1,3,0
1,Excavator,Engine,36000,5176,3,1,3000,9810.0,1,3,0
1,Excavator,Engine,39000,8176,3,2,3000,6810.0,1,3,0
1,Excavator,Hydraulic Pump,39000,8676,3,2,3000,1822.0,1,3,0
1,Excavator,Brake System,39000,6320,4,2,3000,1931.0,1,4,0
1,Excavator,Hydraulic Pump,40822,10498,3,3,1822,0.0,2,3,1
1,Excavator,Brake System,40931,8251,4,3,1931,0.0,2,4,1
1,Excavator,Brake System,42000,1069,5,0,1069,7811.0,1,5,0
1,Excavator,Hydraulic Pump,42000,1178,4,0,1178,8488.0,1,4,0
1,Excavator,Engine,42000,11176,3,3,3000,3810.0,1,3,0
1,Excavator,Brake System,45000,4069,5,1,3000,4811.0,1,5,0
1,Excavator,Hydraulic Pump,45000,4178,4,1,3000,5488.0,1,4,0
1,Excavator,Engine,45000,14176,3,4,3000,810.0,1,3,0
1,Excavator,Engine,45810,14986,3,5,810,0.0,2,3,1
1,Excavator,Brake System,48000,7069,5,2,3000,1811.0,1,5,0
1,Excavator,Hydraulic Pump,48000,7178,4,2,3000,2488.0,1,4,0
1,Excavator,Engine,48000,2190,4,0,2190,16185.0,1,4,0
1,Excavator,Brake System,49811,8880,5,3,1811,0.0,2,5,1
1,Excavator,Hydraulic Pump,50488,9666,4,3,2488,0.0,2,4,1
1,Excavator,Engine,51000,5190,4,1,3000,13185.0,1,4,0
1,Excavator,Brake System,51000,1189,6,0,1189,7404.0,1,6,0
1,Excavator,Hydraulic Pump,51000,512,5,0,512,10210.0,1,5,0
1,Excavator,Brake System,54000,4189,6,1,3000,4404.0,1,6,0
1,Excavator,Hydraulic Pump,54000,3512,5,1,3000,7210.0,1,5,0
1,Excavator,Engine,54000,8190,4,2,3000,10185.0,1,4,0
1,Excavator,Brake System,57000,7189,6,2,3000,1404.0,1,6,0
1,Excavator,Hydraulic Pump,57000,6512,5,2,3000,4210.0,1,5,0
1,Excavator,Engine,57000,11190,4,3,3000,7185.0,1,4,0
1,Excavator,Brake System,58404,8593,6,3,1404,0.0,2,6,1
1,Excavator,Brake System,60000,1596,7,0,1596,7301.0,1,7,0
1,Excavator,Hydraulic Pump,60000,9512,5,3,3000,1210.0,1,5,0
1,Excavator,Engine,60000,14190,4,4,3000,4185.0,1,4,0
1,Excavator,Hydraulic Pump,61210,10722,5,4,1210,0.0,2,5,1
1,Excavator,Brake System,63000,4596,7,1,3000,4301.0,1,7,0
1,Excavator,Hydraulic Pump,63000,1790,6,0,1790,9047.0,1,6,0
1,Excavator,Engine,63000,17190,4,5,3000,1185.0,1,4,0
1,Excavator,Engine,64185,18375,4,6,1185,0.0,2,4,1
1,Excavator,Brake System,66000,7596,7,2,3000,1301.0,1,7,0
1,Excavator,Hydraulic Pump,66000,4790,6,1,3000,6047.0,1,6,0
1,Excavator,Engine,66000,1815,5,0,1815,16892.0,1,5,0
1,Excavator,Brake System,67301,8897,7,3,1301,0.0,2,7,1
1,Excavator,Brake System,69000,1699,8,0,1699,7166.0,1,8,0
1,Excavator,Hydraulic Pump,69000,7790,6,2,3000,3047.0,1,6,0
1,Excavator,Engine,69000,4815,5,1,3000,13892.0,1,5,0
1,Excavator,Brake System,72000,4699,8,1,3000,4166.0,1,8,0
1,Excavator,Hydraulic Pump,72000,10790,6,3,3000,47.0,1,6,0
1,Excavator,Engine,72000,7815,5,2,3000,10892.0,1,5,0
1,Excavator,Hydraulic Pump,72047,10837,6,4,47,0.0,2,6,1
1,Excavator,Brake System,75000,7699,8,2,3000,1166.0,1,8,0
1,Excavator,Hydraulic Pump,75000,2953,7,0,2953,7475.0,1,7,0
1,Excavator,Engine,75000,10815,5,3,3000,7892.0,1,5,0
1,Excavator,Brake System,76166,8865,8,3,1166,0.0,2,8,1
1,Excavator,Engine,78000,13815,5,4,3000,4892.0,1,5,0
1,Excavator,Brake System,78000,1834,9,0,1834,7186.0,1,9,0
1,Excavator,Hydraulic Pump,78000,5953,7,1,3000,4475.0,1,7,0
1,Excavator,Brake System,81000,4834,9,1,3000,4186.0,1,9,0
1,Excavator,Hydraulic Pump,81000,8953,7,2,3000,1475.0,1,7,0
1,Excavator,Engine,81000,16815,5,5,3000,1892.0,1,5,0
1,Excavator,Hydraulic Pump,82475,10428,7,3,1475,0.0,2,7,1
1,Excavator,Engine,82892,18707,5,6,1892,0.0,2,5,1
1,Excavator,Engine,83392,500,6,0,500,0.0,2,6,1
1,Excavator,Brake System,84000,7834,9,2,3000,1186.0,1,9,0
1,Excavator,Hydraulic Pump,84000,1525,8,0,1525,8905.0,1,8,0
1,Excavator,Engine,84000,608,7,0,608,14822.0,1,7,0
1,Excavator,Brake System,85186,9020,9,3,1186,0.0,2,9,1
1,Excavator,Engine,87000,3608,7,1,3000,11822.0,1,7,0
1,Excavator,Hydraulic Pump,87000,4525,8,1,3000,5905.0,1,8,0
1,Excavator,Brake System,87000,1814,10,0,1814,7107.0,1,10,0
1,Excavator,Brake System,90000,4814,10,1,3000,4107.0,1,10,0
1,Excavator,Hydraulic Pump,90000,7525,8,2,3000,2905.0,1,8,0
